  t  | i=1      IO:EXT|10    OQ:2|20    OQ:2|30    IS:2|20    IS:2|30        RM:20         RM:30    OS:EXT|10      IL:10        HC        SC    ITHC        TC  | i=2      IO:1|20    IO:1|30    OQ:EXT|-5    IS:EXT|-5         RM:-5    OS:1|20    OS:1|30          IL:20    IL:30            HC    SC    ITHC    TC
---  -------  -----------  ---------  ---------  ---------  ---------  -----------  ------------  -----------  ---------  --------  --------  ------  --------  -------  ---------  ---------  -----------  -----------  ------------  ---------  ---------  -------------  -------  ------------  ----  ------  ----
  0  |                  2         10          6          0          0  0             0                2         4         20         0             0  20        |               10          6           16            0   0                   10          6   25                 14  92               0      38   130
  1  |                  2         10          6         10          6  0             0                2         4         20         0             0  20        |               10          6           16            0   0                   10          6   15                  8  54               0      38    92
  2  |                  1          5          3         10          6  0             0                1         5         25         0             0  25        |                5          3            8           16   0                    5          3   20                 11  73               0      19    92
  3  |                  5         25         15          5          3  0             0                5         1          5         0             0   5        |               25         15           40           16   0                   25         15    5                  2  16               0      95   111
  4  |                  5         25         15         25         15  0             0                5         1          5         0             0   5        |               25         15           40            8   0                   10          5  -15                -10   0               0      35    35
  5  |                  5         25         15         10          5  1.66667       0                2.66667  -2.33333    3.33333  46.6667        0  50        |               25         15           40           40   0                   25         15  -15                -10   0               0      95    95
  6  |                  2         10          6         25         15  1.66667       0                4.33333   0.666667   6.66667   0             0   6.66667  |               10          6           16           40   0                   25         15   -3.55271e-15       -1   0               0      95    95
  7  |                  2         10          6         25         15  1.66667       0                2         3.66667   21.6667    0             0  21.6667   |               10          6           16           40   0                   10          7   15                  8  54               0      41    95
  8  |                  2         10          6         10          7  0             2.66454e-15      2         4         20         0             0  20        |               10          6           16           16   0                   10          6   15                  8  54               0      38    92
  9  |                  1          5          3         10          6  0             2.66454e-15      1         5         25         0             0  25        |                5          3            8           16   0                    5          3   20                 11  73               0      19    92
 10  |                  3         15          9          5          3  0             2.66454e-15      3         3         15         0             0  15        |               15          9           24           16   0                   15          9   15                  8  54               0      57   111
 11  |                  3         15          9         15          9  0             3.55271e-15      3         3         15         0             0  15        |               15          9           24            8   0                   15          9    5                  2  16               0      57    73
 12  |                  4         20         12         15          9  0             3.55271e-15      4         2         10         0             0  10        |               20         12           32           24   0                   20         11   -7.10543e-15       -1   0               0      73    73
 13  |                  4         20         12         20         11  1.66667       0                4         1.66667   11.6667    0             0  11.6667   |               20         12           32           24   0                   15          9   -5                 -4   0               0      57    57
 14  |                  4         20         12         15          9  1.66667       0                4         0.666667   6.66667   0             0   6.66667  |               20         12           32           32   0                   20         12   -5                 -4   0               0      76    76
 15  |                  2         10          6         20         12  1.66667       0                2         2.66667   16.6667    0             0  16.6667   |               10          6           16           32   0                   15         10    5                  2  16               0      60    76
 16  |                  2         10          6         15         10  0             3.55271e-15      2         4         20         0             0  20        |               10          6           16           32   0                   10          6   15                  8  54               0      38    92
 17  |                  2         10          6         10          6  0             3.55271e-15      2         4         20         0             0  20        |               10          6           16           16   0                   10          6   15                  8  54               0      38    92
 18  |                  2         10          6         10          6  0             3.55271e-15      2         4         20         0             0  20        |               10          6           16           16   0                   10          6   15                  8  54               0      38    92
 19  |                  1          5          3         10          6  0             3.55271e-15      1         5         25         0             0  25        |                5          3            8           16   0                    5          3   20                 11  73               0      19    92
 20  |                  3         15          9          5          3  0             3.55271e-15      3         3         15         0             0  15        |               15          9           24           16   0                   15          9   15                  8  54               0      57   111
 21  |                  5         25         15         15          9  0             3.55271e-15      5         1          5         0             0   5        |               25         15           40            8   0                   20         11   -5                 -4   0               0      73    73
 22  |                  2         10          6         20         11  1.66667       0                2         2.66667   16.6667    0             0  16.6667   |               10          6           16           24   0                   15          9    3.55271e-15       -1   7.10543e-15     0      57    57
 23  |                  1          5          3         15          9  1.66667       0                1         4.66667   26.6667    0             0  26.6667   |                5          3            8           40   0                    5          4   20                 11  73               0      22    95
 24  |                  4         20         12          5          4  0             2.66454e-15      4         2         10         0             0  10        |               20         12           32           16   0                   20         12   10                  5  35               0      76   111
 25  |                  3         15          9         20         12  0             3.55271e-15      3         3         15         0             0  15        |               15          9           24            8   0                   15          8   -1.06581e-14       -1   0               0      54    54
 26  |                  4         20         12         15          8  1.66667       0                4         1.66667   11.6667    0             0  11.6667   |               20         12           32           32   0                   20         12   -7.10543e-15       -1   0               0      76    76
 27  |                  3         15          9         20         12  1.66667       0                3         2.66667   16.6667    0             0  16.6667   |               15          9           24           24   0                   15          9   -7.10543e-15       -1   0               0      57    57
 28  |                  2         10          6         15          9  1.66667       0                2         3.66667   21.6667    0             0  21.6667   |               10          6           16           32   0                   10          7   10                  5  35               0      41    76
 29  |                  5         25         15         10          7  0             4.44089e-15      5         1          5         0             0   5        |               25         15           40           24   0                   25         14   -7.10543e-15       -1   0               0      92    92
 30  |                  2         10          6         25         14  1.66667       0                2         3.66667   21.6667    0             0  21.6667   |               10          6           16           16   0                   10          6   -2.84217e-14       -1   0               0      38    38
 31  |                  1          5          3         10          6  1.66667       0                1         4.66667   26.6667    0             0  26.6667   |                5          3            8           40   3.55271e-15          5          4   20                 11  73               0      22    95
 32  |                  4         20         12          5          4  0             8.88178e-16      4         2         10         0             0  10        |               20         12           32           16  -1.77636e-15         20         12   10                  5  35               0      76   111
 33  |                  4         20         12         20         12  0             0                4         2         10         0             0  10        |               20         12           32            8  -4.44089e-16         15          8   -5                 -4   0               0      54    54
 34  |                  3         15          9         15          8  1.66667       0                3         1.66667   11.6667    0             0  11.6667   |               15          9           24           32   0                   20         12   -2.84217e-14       -1   0               0      76    76
 35  |                  4         20         12         20         12  1.66667       0                4         1.66667   11.6667    0             0  11.6667   |               20         12           32           32   0                   20         12   -3.19744e-14       -1   0               0      76    76
 36  |                  4         20         12         20         12  1.66667       0                4         1.66667   11.6667    0             0  11.6667   |               20         12           32           24   0                   15          9   -5                 -4   0               0      57    57
 37  |                  3         15          9         15          9  1.66667       0                3         1.66667   11.6667    0             0  11.6667   |               15          9           24           32  -3.55271e-15         20         12   -2.13163e-14       -1   0               0      76    76
 38  |                  4         20         12         20         12  1.66667       0                4         1.66667   11.6667    0             0  11.6667   |               20         12           32           32   1.77636e-15         20         12   -2.84217e-14       -1   0               0      76    76
 39  |                  1          5          3         20         12  1.66667       0                1         4.66667   26.6667    0             0  26.6667   |                5          3            8           24   0                    5          4   10                  5  35               0      22    57
 40  |                  2         10          6          5          4  0             1.77636e-15      2         4         20         0             0  20        |               10          6           16           32   0                   10          6   20                 11  73               0      38   111
 41  |                  3         15          9         10          6  0             1.77636e-15      3         3         15         0             0  15        |               15          9           24            8   0                   15          9   10                  5  35               0      57    92
 42  |                  3         15          9         15          9  0             1.77636e-15      3         3         15         0             0  15        |               15          9           24           16   0                   15          9    5                  2  16               0      57    73
 43  |                  2         10          6         15          9  0             1.77636e-15      2         4         20         0             0  20        |               10          6           16           24   1.77636e-15         10          6   10                  5  35               0      38    73
 44  |                  1          5          3         10          6  0             1.77636e-15      1         5         25         0             0  25        |                5          3            8           24   0                    5          3   20                 11  73               0      19    92
 45  |                  2         10          6          5          3  0             1.77636e-15      2         4         20         0             0  20        |               10          6           16           16   0                   10          6   20                 11  73               0      38   111
 46  |                  1          5          3         10          6  0             1.77636e-15      1         5         25         0             0  25        |                5          3            8            8   0                    5          3   20                 11  73               0      19    92
 47  |                  1          5          3          5          3  0             1.77636e-15      1         5         25         0             0  25        |                5          3            8           16   0                    5          3   25                 14  92               0      19   111
 48  |                  5         25         15          5          3  0             1.77636e-15      5         1          5         0             0   5        |               25         15           40            8   0                   25         15    5                  2  16               0      95   111
 49  |                  5         25         15         25         15  0             1.77636e-15      5         1          5         0             0   5        |               25         15           40            8   0                   10          5  -15                -10   0               0      35    35
 50  |                  3         15          9         10          5  1.66667       0                2.66667  -0.333333   3.33333   6.66667       0  10        |               15          9           24           40   3.55271e-15         25         15   -5                 -4   0               0      95    95
 51  |                  5         25         15         25         15  1.66667       0                5        -0.333333   3.33333   6.66667       0  10        |               25         15           40           40   0                   25         15   -5                 -4   0               0      95    95
 52  |                  5         25         15         25         15  1.66667       0                5        -0.333333   3.33333   6.66667       0  10        |               25         15           40           24   0                   15          9  -15                -10   0               0      57    57
 53  |                  4         20         12         15          9  1.66667       0                3        -1.33333    3.33333  26.6667        0  30        |               20         12           32           40   0                   25         15  -10                 -7   0               0      95    95
 54  |                  4         20         12         25         15  1.66667       0                5        -0.333333   3.33333   6.66667       0  10        |               20         12           32           40  -1.77636e-15         25         15   -5                 -4   0               0      95    95
